date,open,close,high,low,amount
2011-12-09,0.795,0.797,0.814,0.795,84623228.4
2011-12-12,0.79,0.79,0.803,0.79,24574135.0
2011-12-13,0.788,0.769,0.788,0.765,38603338.6
2011-12-14,0.768,0.757,0.777,0.757,60383694.7
2011-12-15,0.755,0.753,0.761,0.747,19817002.2
2011-12-16,0.75,0.781,0.784,0.748,64774890.4
2011-12-19,0.775,0.795,0.795,0.766,84964432.5
2011-12-20,0.795,0.78,0.8,0.78,50855298.0
2011-12-21,0.786,0.766,0.791,0.766,37183555.0
2011-12-22,0.756,0.757,0.768,0.73,53700368.8
2011-12-23,0.75,0.761,0.773,0.749,77135188.3
2011-12-26,0.759,0.755,0.773,0.751,34492477.0
2011-12-27,0.75,0.729,0.754,0.727,80128691.1
2011-12-28,0.72,0.719,0.724,0.703,83191032.2
2011-12-29,0.713,0.718,0.726,0.711,24391896.0
2011-12-30,0.723,0.729,0.732,0.722,56320717.5
2012-01-04,0.735,0.708,0.739,0.708,25522904.4
2012-01-05,0.705,0.672,0.705,0.666,44608838.4
2012-01-06,0.668,0.67,0.676,0.647,92991980.0
2012-01-09,0.667,0.696,0.698,0.658,123781512.0
2012-01-10,0.696,0.72,0.722,0.691,54400392.0
2012-01-11,0.717,0.723,0.731,0.711,91055559.9
2012-01-12,0.717,0.711,0.73,0.71,56765244.6
2012-01-13,0.709,0.668,0.711,0.666,141084338.8
2012-01-16,0.656,0.635,0.66,0.635,58739722.5
2012-01-17,0.635,0.666,0.67,0.627,151180801.2
2012-01-18,0.665,0.624,0.669,0.624,54727358.4
2012-01-19,0.619,0.635,0.639,0.615,64188721.0
2012-01-20,0.634,0.648,0.653,0.634,69750590.4
2012-01-30,0.649,0.655,0.663,0.645,60508638.0
2012-01-31,0.652,0.65,0.655,0.638,40302080.0
2012-02-01,0.651,0.653,0.666,0.648,98462409.1
2012-02-02,0.654,0.67,0.67,0.653,49510789.0
2012-02-03,0.669,0.682,0.685,0.664,70891035.6
2012-02-06,0.683,0.69,0.693,0.683,89658945.0
2012-02-07,0.683,0.675,0.685,0.671,73731735.0
2012-02-08,0.677,0.696,0.697,0.671,139795358.4
2012-02-09,0.694,0.701,0.708,0.693,81602849.2
2012-02-10,0.7,0.701,0.708,0.695,79282959.8
2012-02-13,0.694,0.718,0.721,0.691,84210342.8
2012-02-14,0.715,0.715,0.719,0.708,41526628.0
2012-02-15,0.714,0.726,0.727,0.708,57462754.8
2012-02-16,0.723,0.723,0.734,0.715,36190271.1
2012-02-17,0.726,0.719,0.728,0.71,48883156.3
2012-02-20,0.725,0.723,0.734,0.722,28329959.7
2012-02-21,0.721,0.738,0.739,0.716,57052492.2
2012-02-22,0.738,0.762,0.767,0.737,147186091.2
2012-02-23,0.765,0.76,0.768,0.75,94417992.0
2012-02-24,0.758,0.764,0.768,0.755,104243980.0
2012-02-27,0.764,0.763,0.774,0.761,84092824.2
2012-02-28,0.758,0.75,0.759,0.74,70354950.0
2012-02-29,0.745,0.737,0.751,0.734,61011586.9
2012-03-01,0.733,0.743,0.75,0.733,61332718.2
2012-03-02,0.744,0.759,0.759,0.743,49029578.4
2012-03-05,0.76,0.761,0.769,0.758,35887542.4
2012-03-06,0.756,0.752,0.76,0.744,40722078.4
2012-03-07,0.743,0.749,0.761,0.74,45976915.6
2012-03-08,0.75,0.765,0.766,0.75,30737011.5
2012-03-09,0.767,0.779,0.78,0.765,95773687.6
2012-03-12,0.783,0.786,0.787,0.779,84733708.2
2012-03-13,0.787,0.793,0.794,0.783,27998768.2
2012-03-14,0.8,0.756,0.802,0.751,94969249.2
2012-03-15,0.759,0.747,0.762,0.735,96475423.5
2012-03-16,0.749,0.767,0.769,0.747,75401929.2
2012-03-19,0.764,0.78,0.783,0.763,51040470.0
2012-03-20,0.775,0.756,0.776,0.755,67323160.8
2012-03-21,0.759,0.75,0.763,0.738,51149850.0
2012-03-22,0.75,0.752,0.759,0.743,38617832.0
2012-03-23,0.75,0.74,0.752,0.735,57460112.0
2012-03-26,0.738,0.739,0.744,0.732,15953310.3
2012-03-27,0.746,0.737,0.748,0.735,27470790.6
2012-03-28,0.733,0.7,0.733,0.699,32408740.0
2012-03-29,0.698,0.686,0.698,0.678,44176616.4
2012-03-30,0.686,0.683,0.69,0.677,19041835.1
2012-04-05,0.68,0.701,0.702,0.678,45467490.9
2012-04-06,0.7,0.703,0.708,0.695,35507967.6
2012-04-09,0.701,0.691,0.705,0.691,17646965.3
2012-04-10,0.691,0.7,0.701,0.675,30255190.0
2012-04-11,0.69,0.701,0.704,0.688,28416366.9
2012-04-12,0.701,0.718,0.718,0.699,51226643.4
2012-04-13,0.719,0.722,0.728,0.716,45913568.4
2012-04-16,0.715,0.719,0.723,0.713,26628236.9
2012-04-17,0.719,0.71,0.721,0.708,24861573.0
2012-04-18,0.713,0.728,0.73,0.712,90806788.8
2012-04-19,0.726,0.728,0.732,0.724,45017991.2
2012-04-20,0.726,0.729,0.732,0.723,39809304.9
2012-04-23,0.725,0.686,0.725,0.686,97139863.8
2012-04-24,0.681,0.683,0.691,0.664,46621648.3
2012-04-25,0.681,0.684,0.688,0.676,23886716.4
2012-04-26,0.689,0.681,0.689,0.676,24610659.0
2012-04-27,0.68,0.688,0.693,0.678,30613523.2
2012-05-02,0.696,0.698,0.701,0.689,46176190.0
2012-05-03,0.697,0.703,0.704,0.694,40809431.2
2012-05-04,0.703,0.719,0.719,0.703,61092279.6
2012-05-07,0.717,0.737,0.737,0.714,70851789.8
2012-05-08,0.739,0.734,0.743,0.734,85098271.8
2012-05-09,0.729,0.724,0.733,0.722,46655646.0
2012-05-10,0.725,0.732,0.735,0.723,55600963.2
2012-05-11,0.73,0.722,0.735,0.722,42006465.4
2012-05-14,0.728,0.722,0.735,0.721,63872307.6
2012-05-15,0.718,0.724,0.725,0.713,31266157.2
2012-05-16,0.723,0.714,0.727,0.714,43520513.4
2012-05-17,0.715,0.72,0.724,0.707,36876168.0
2012-05-18,0.715,0.712,0.722,0.709,22084958.4
2012-05-21,0.712,0.708,0.717,0.703,44285966.4
2012-05-22,0.711,0.721,0.722,0.711,30812295.5
2012-05-23,0.72,0.716,0.722,0.71,13667079.6
2012-05-24,0.715,0.716,0.723,0.714,43580628.8
2012-05-25,0.718,0.706,0.72,0.705,24759420.0
2012-05-28,0.701,0.712,0.714,0.69,61507615.2
2012-05-29,0.709,0.725,0.733,0.708,41340442.5
2012-05-30,0.725,0.732,0.737,0.723,37029830.4
2012-05-31,0.73,0.74,0.747,0.728,63003230.0
2012-06-01,0.739,0.739,0.746,0.735,31395454.3
2012-06-04,0.727,0.723,0.741,0.723,28912842.3
2012-06-05,0.724,0.721,0.73,0.718,17740565.5
